zips,cbsa,cbsa_type
50112,-2,-2
50401,32380,2
52404,16300,1
52807,19340,1
50701,47940,1
52501,36900,2
50501,22700,2
51334,-2,-2
50011,11180,1
52641,-2,-2
51502,36540,1
52242,26980,1
52406,16300,1
52004,20220,1
52101,-2,-2
52557,-2,-2
50158,32260,2
50309,19780,1
51106,43580,1
52733,17540,2
50614,16300,1
51041,-2,-2
52132,-2,-2
51201,-2,-2
52803,19340,1
50125,19780,1
52655,15460,2
50801,-2,-2
52142,-2,-2
52595,36820,2
50436,-2,-2
50677,47940,1
51102,43580,1
52577,36820,2
66749,-2,-2
66006,29940,1
67530,24460,2
66002,11860,2
67456,32700,2
67117,48620,1
67401,41460,2
67042,48620,1
67460,32700,2
66901,-2,-2
67337,17700,2
67701,-2,-2
67005,49060,2
67801,19980,2
66102,28140,1
66801,21380,2
67601,25700,2
67059,-2,-2
67213,48620,1
66701,-2,-2
67846,23780,2
66046,29940,1
67062,48620,1
66035,41140,1
67501,26740,2
67301,17700,2
66210,28140,1
64111,28140,1
66112,28140,1
66045,29940,1
66160,28140,1
66506,31740,2
67357,37660,2
66502,31740,2
66062,28140,1
66720,-2,-2
67420,-2,-2
66067,28140,1
66762,38260,2
67124,-2,-2
66048,28140,1
67901,30580,2
67156,49060,2
67579,-2,-2
67063,-2,-2
66621,45820,1
67260,48620,1
41844,-2,-2
40390,30460,1
41101,26580,1
40205,31140,1
40404,40080,2
42301,36980,1
42718,15820,2
40422,19220,2
40977,33180,2
40769,18340,2
40475,40080,2
42701,21060,1
40324,30460,1
41701,-2,-2
42420,21780,1
42241,17300,1
42001,37140,2
40202,31140,1
40508,30460,1
41385,-2,-2
40601,23180,2
42302,36980,1
40506,30460,1
41143,-2,-2
42728,-2,-2
40218,31140,1
40292,31140,1
42431,31580,2
41056,32500,2
42066,32460,2
40347,30460,1
40351,-2,-2
42071,34660,2
41099,17140,1
42002,37140,2
41501,-2,-2
41653,-2,-2
40213,31140,1
40061,-2,-2
41017,17140,1
42501,43700,2
40823,-2,-2
40280,31140,1
40203,31140,1
40216,31140,1
40906,-2,-2
42101,14540,1
71302,10780,1
70778,12940,1
71221,12820,2
70816,12940,1
70805,12940,1
71111,43340,1
70119,35380,1
71134,43340,1
70601,29340,1
71292,33740,1
70122,35380,1
70043,35380,1
70582,29180,1
70441,12940,1
70748,12940,1
71245,40820,2
70510,10020,2
70401,25220,2
71483,-2,-2
70817,12940,1
70546,27660,2
70001,35380,1
70112,35380,1
70803,12940,1
70535,18940,2
71115,43340,1
71359,10780,1
71272,40820,2
70118,35380,1
71052,43340,1
70609,29340,1
70148,35380,1
70126,35380,1
70310,26380,1
71241,33740,1
71209,33740,1
71295,-2,-2
71058,33380,2
71497,35060,2
