UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
103927,3,R,724,R,0,R,360,R,364
103954,1,R,82,A,,A,,R,82
103954,2,R,82,A,,A,,R,82
103954,3,R,82,A,,A,,R,82
103963,1,R,1000,R,0,R,99,R,901
103963,2,R,1000,R,0,R,99,R,901
103963,3,R,1000,R,0,R,99,R,901
104090,1,R,1127,R,377,R,580,R,170
104090,2,R,1079,R,329,R,580,R,170
104090,3,R,1079,R,329,R,580,R,170
104090,12,R,48,R,48,Z,0,R,0
104151,1,R,86547,R,4788,R,59812,R,21947
104151,2,R,70151,R,4285,R,55286,R,10580
104151,3,R,68847,R,3724,R,54939,R,10184
104151,11,R,1304,R,561,R,347,R,396
104151,12,R,16396,R,503,R,4526,R,11367
104160,1,R,12473,R,2587,R,4258,R,5628
104160,2,R,12473,R,2587,R,4258,R,5628
104160,3,R,10582,R,2050,R,3770,R,4762
104160,11,R,1891,R,537,R,488,R,866
104179,1,R,61966,R,16496,R,22628,R,22842
104179,2,R,49114,R,11832,R,21178,R,16104
104179,3,R,45572,R,10327,R,21118,R,14127
104179,11,R,3542,R,1505,R,60,R,1977
104179,12,R,12852,R,4664,R,1450,R,6738
104346,1,R,8263,R,1448,R,5015,R,1800
104346,2,R,8263,R,1448,R,5015,R,1800
104346,3,R,6495,R,1348,R,4420,R,727
104346,11,R,1768,R,100,R,595,R,1073
104391,1,R,145,A,,A,,R,145
104391,2,R,145,A,,A,,R,145
104391,3,R,145,A,,A,,R,145
104425,1,R,8804,R,1770,R,1930,R,5104
104425,2,R,8804,R,1770,R,1930,R,5104
104425,3,R,7637,R,1506,R,1756,R,4375
104425,11,R,1167,R,264,R,174,R,729
104443,1,R,147,A,,A,,R,147
104443,2,R,147,A,,A,,R,147
104443,3,R,147,A,,A,,R,147
104568,1,R,564,R,0,R,564,R,0
104568,2,R,564,R,0,R,564,R,0
104568,3,R,564,R,0,R,564,R,0
104577,1,R,7093,R,851,R,905,R,5337
104577,2,R,7093,R,851,R,905,R,5337
104577,3,R,4378,R,742,R,765,R,2871
104577,11,R,2715,R,109,R,140,R,2466
104586,1,R,3433,R,16,R,874,R,2543
104586,2,R,3391,R,16,R,873,R,2502
104586,3,R,3364,R,15,R,873,R,2476
104586,11,R,27,R,1,R,0,R,26
104586,12,R,42,R,0,R,1,R,41
104665,1,R,6,R,0,R,1,R,5
104665,12,R,6,R,0,R,1,R,5
104708,1,R,20692,R,7975,R,7892,R,4825
104708,2,R,20692,R,7975,R,7892,R,4825
104708,3,R,16861,R,7113,R,7369,R,2379
104708,11,R,3831,R,862,R,523,R,2446
104717,1,R,170467,R,142069,R,22068,R,6330
104717,2,R,112023,R,86615,R,19664,R,5744
104717,3,R,104092,R,79475,R,19576,R,5041
104717,11,R,7931,R,7140,R,88,R,703
104717,12,R,58444,R,55454,R,2404,R,586
105145,1,R,7866,R,3499,R,1901,R,2466
105145,2,R,7866,R,3499,R,1901,R,2466
105145,3,R,6057,R,3210,R,1697,R,1150
105145,11,R,1809,R,289,R,204,R,1316
105154,1,R,25599,R,11440,R,7911,R,6248
105154,2,R,25599,R,11440,R,7911,R,6248
105154,3,R,21491,R,10173,R,7524,R,3794
105154,11,R,4108,R,1267,R,387,R,2454
105206,1,R,5504,R,1559,R,2302,R,1643
105206,2,R,5504,R,1559,R,2302,R,1643
105206,3,R,4344,R,1426,R,1928,R,990
105206,11,R,1160,R,133,R,374,R,653
105215,1,R,822,A,,A,,R,822
105215,2,R,822,A,,A,,R,822
105215,3,R,822,A,,A,,R,822
105297,1,R,2312,R,1427,R,532,R,353
105297,2,R,2303,R,1418,R,532,R,353
105297,3,R,1888,R,1290,R,519,R,79
105297,11,R,415,R,128,R,13,R,274
105297,12,R,9,R,9,R,0,R,0
105330,1,R,31448,R,6722,R,15299,R,9427
105330,2,R,25247,R,3908,R,13756,R,7583
105330,3,R,24894,R,3700,R,13739,R,7455
105330,11,R,353,R,208,R,17,R,128
105330,12,R,6201,R,2814,R,1543,R,1844
105349,1,R,4917,R,2390,R,903,R,1624
105349,2,R,4917,R,2390,R,903,R,1624
105349,3,R,1714,R,980,R,388,R,346
105349,11,R,3203,R,1410,R,515,R,1278
105428,1,R,16165,R,8156,R,4543,R,3466
105428,2,R,16165,R,8156,R,4543,R,3466
105428,3,R,12911,R,7456,R,4030,R,1425
105428,11,R,3254,R,700,R,513,R,2041
105525,1,R,33102,R,9974,R,9419,R,13709
105525,2,R,33102,R,9974,R,9419,R,13709
105525,3,R,20785,R,6467,R,8341,R,5977
105525,11,R,12317,R,3507,R,1078,R,7732
105534,1,R,4270,R,2732,Z,0,R,1538
105534,2,R,4095,R,2557,Z,0,R,1538
105534,3,R,4094,R,2557,Z,0,R,1537
105534,11,R,1,Z,0,Z,0,R,1
105534,12,R,175,R,175,Z,0,R,0
105543,1,R,1107,R,58,R,0,R,1049
105543,2,R,1107,R,58,R,0,R,1049
105543,3,R,1107,R,58,R,0,R,1049
105589,1,R,1162,R,956,R,18,R,188
105589,2,R,337,R,131,R,18,R,188
105589,3,R,315,R,129,R,0,R,186
105589,11,R,22,R,2,R,18,R,2
105589,12,R,825,R,825,R,0,R,0
105659,1,R,2218,R,0,R,59,R,2159
105659,2,R,2218,R,0,R,59,R,2159
105659,3,R,2218,R,0,R,59,R,2159
105668,1,R,34287,R,20037,R,1648,R,12602
105668,2,R,34287,R,20037,R,1648,R,12602
105668,3,R,20478,R,16997,R,747,R,2734
105668,11,R,13809,R,3040,R,901,R,9868
105677,1,R,46,A,,A,,R,46
105677,2,R,46,A,,A,,R,46
105677,3,R,46,A,,A,,R,46
105747,1,R,11319,R,5818,R,2846,R,2655
105747,2,R,11319,R,5818,R,2846,R,2655
105747,3,R,8965,R,5035,R,2634,R,1296
105747,11,R,2354,R,783,R,212,R,1359
105792,1,R,6113,R,2560,R,1914,R,1639
105792,2,R,6113,R,2560,R,1914,R,1639
